state,year,total,D,R,party,pv2p,last_pv2p,winner,incumbent,incumbent_party
Illinois,2012,5242014,3019512,2135216,democrat,58.5775233921169,62.73426404455936,TRUE,TRUE,TRUE
Illinois,2016,5536424,3090729,2146015,republican,40.97994860928852,41.42247660788309,TRUE,FALSE,FALSE
Illinois,2016,5536424,3090729,2146015,democrat,59.02005139071148,58.5775233921169,FALSE,FALSE,TRUE
Indiana,1988,2168621,860643,1297763,republican,60.12599112493201,62.07342912168372,TRUE,FALSE,TRUE
Indiana,1988,2168621,860643,1297763,democrat,39.87400887506799,37.926570878316284,FALSE,FALSE,FALSE
Indiana,1992,2305871,848420,989375,republican,53.83489453393877,60.12599112493201,FALSE,TRUE,TRUE
Indiana,1992,2305871,848420,989375,democrat,46.16510546606123,39.87400887506799,TRUE,FALSE,FALSE
Indiana,1996,2135431,887424,1006693,republican,53.14840635504565,53.83489453393877,FALSE,FALSE,FALSE
Indiana,1996,2135431,887424,1006693,democrat,46.851593644954356,46.16510546606123,TRUE,TRUE,TRUE
Indiana,2000,2199302,901980,1245836,republican,58.004782532581935,53.14840635504565,TRUE,FALSE,FALSE
Indiana,2000,2199302,901980,1245836,democrat,41.995217467418065,46.851593644954356,FALSE,FALSE,TRUE
Indiana,2004,2468002,969011,1479438,republican,60.42347624965846,58.004782532581935,TRUE,TRUE,TRUE
Indiana,2004,2468002,969011,1479438,democrat,39.57652375034154,41.995217467418065,FALSE,FALSE,FALSE
Indiana,2008,2751054,1374039,1345648,republican,49.47804655462191,60.42347624965846,FALSE,FALSE,TRUE
Indiana,2008,2751054,1374039,1345648,democrat,50.52195344537809,39.57652375034154,TRUE,FALSE,FALSE
Indiana,2012,2624534,1152887,1420543,republican,55.200374597327304,49.47804655462191,FALSE,FALSE,FALSE
Indiana,2012,2624534,1152887,1420543,democrat,44.799625402672696,50.52195344537809,TRUE,TRUE,TRUE
Indiana,2016,2734958,1033126,1557286,republican,60.117309524508066,55.200374597327304,TRUE,FALSE,FALSE
Indiana,2016,2734958,1033126,1557286,democrat,39.88269047549193,44.799625402672696,FALSE,FALSE,TRUE
Iowa,1988,1225614,670557,545355,republican,44.85151885991749,53.72382533002015,TRUE,FALSE,TRUE
Iowa,1988,1225614,670557,545355,democrat,55.14848114008251,46.27617466997986,FALSE,FALSE,FALSE
Iowa,1992,1354607,586353,504891,republican,46.26747088643786,44.85151885991749,FALSE,TRUE,TRUE
Iowa,1992,1354607,586353,504891,democrat,53.73252911356213,55.14848114008251,TRUE,FALSE,FALSE
Iowa,1996,1234075,620258,492644,republican,44.26661107626727,46.26747088643786,FALSE,FALSE,FALSE
Iowa,1996,1234075,620258,492644,democrat,55.73338892373273,53.73252911356213,TRUE,TRUE,TRUE
Iowa,2000,1353022,638517,634373,republican,49.83722081248183,44.26661107626727,TRUE,FALSE,FALSE
Iowa,2000,1353022,638517,634373,democrat,50.16277918751817,55.73338892373273,FALSE,FALSE,TRUE
Iowa,2004,1506908,741898,751957,republican,50.33667926271291,49.83722081248183,TRUE,TRUE,TRUE
Iowa,2004,1506908,741898,751957,democrat,49.66332073728709,50.16277918751817,FALSE,FALSE,FALSE
Iowa,2008,1537123,828940,682379,republican,45.15122221053265,50.33667926271291,FALSE,FALSE,TRUE
Iowa,2008,1537123,828940,682379,democrat,54.84877778946735,49.66332073728709,TRUE,FALSE,FALSE
Iowa,2012,1582180,822544,730617,republican,47.040648071899824,45.15122221053265,FALSE,FALSE,FALSE
Iowa,2012,1582180,822544,730617,democrat,52.959351928100176,54.84877778946735,TRUE,TRUE,TRUE
